societe,secteur,secteur_normalise,type_comptes_resolu,statut_perimetre_is,qualite_perimetre,annee_information,is_2025_mad,resultat_avant_impot,resultat_net,chiffre_affaires,total_actif,capitaux_propres,est_banque,version_source,annee_prevue,prediction_naive_2026_mad,variation_is_predite_mad,prediction_modele_2026_mad,groupe_intervalle,marge_empirique_90_mad,borne_basse_90_mad,borne_haute_90_mad,statut_prevision
Microdata,"Matériels, logiciels et services informatiques",materiels logiciels et services informatiques,sociaux,vérifié_par_impôt_du_pdf,haute,2025,21923922.0,91471712.96,69547790.96,979416352.36,,,False,V16,2026,21923922.0,2993621.235256875,24917543.235256873,Non-banques,52126746.45929065,0.0,77044289.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
AGMA,Sociétés d'assurances,societes d assurances,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,22700000.0,94100000.0,68900000.0,172200000.0,,142600000.0,False,V16,2026,22700000.0,1363692.6740938814,24063692.67409388,Non-banques,52126746.45929065,0.0,76190439.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
Colorado,Chimie,chimie,sociaux,vérifié_par_impôt_du_pdf,haute,2025,20373949.0,,,,,,False,V16,2026,20373949.0,2993621.235256875,23367570.235256873,Non-banques,52126746.45929065,0.0,75494316.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
DISWAY,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,20159189.0,87348236.79,67189047.79,1585037428.91,1170994480.62,,False,V16,2026,20159189.0,2993621.235256875,23152810.235256873,Non-banques,52126746.45929065,0.0,75279556.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Dari couspate,Agroalimentaire,agroalimentaire,sociaux,vérifié_par_impôt_du_pdf,haute,2025,20084584.0,76593839.67,56509255.67,814205707.4,689819897.57,374351492.96,False,V16,2026,20084584.0,2993621.235256875,23078205.235256873,Non-banques,52126746.45929065,0.0,75204951.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
CTM,Divers,divers,sociaux,vérifié_par_rcai_moins_resultat_net,haute,2025,21553492.0,91725000.0,70172000.0,556100000.0,1370741000.0,,False,V16,2026,21553492.0,1363692.6740938814,22917184.67409388,Non-banques,52126746.45929065,0.0,75043931.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
AFMA,Assurances et courtage,assurances et courtage,sociaux,vérifié_par_impôt_du_pdf,haute,2025,18592000.0,83022000.0,64430000.0,,,,False,V16,2026,18592000.0,2993621.235256875,21585621.235256873,Non-banques,52126746.45929065,0.0,73712367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
DELTA HOLDING S.A,Sociétés de portefeuilles holdings,societes de portefeuilles holdings,sociaux,vérifié_par_impôt_du_pdf,haute,2025,16604015.0,,176151674.63,,,1736251853.13,False,V16,2026,16604015.0,2993621.235256875,19597636.235256873,Non-banques,52126746.45929065,0.0,71724382.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
ARADEI Capital,Sociétés immobilières,societes immobilieres,sociaux,vérifié_par_impôt_du_pdf,haute,2025,13486621.63,89076420.2,75589798.57,,,,False,V16,2026,13486621.63,2993621.235256875,16480242.865256876,Non-banques,52126746.45929065,0.0,68606989.32454753,Prévision exploratoire; à actualiser avec les comptes 2026
S2M,Télécommunications et nouvelles technologies,telecommunications et nouvelles technologies,sociaux,vérifié_par_impôt_du_pdf,haute,2025,9402207.74,43543851.94,34141644.2,366496287.39,297032298.41,134023110.29,False,V16,2026,9402207.74,2993621.235256875,12395828.975256875,Non-banques,52126746.45929065,0.0,64522575.43454753,Prévision exploratoire; à actualiser avec les comptes 2026
Zellidja,Sociétés de portefeuilles holdings,societes de portefeuilles holdings,consolides,provisoire_un_seul_type_disponible,provisoire,2025,6170000.0,33990000.0,23775000.0,,,,False,V16,2026,6170000.0,2993621.235256875,9163621.235256875,Non-banques,52126746.45929065,0.0,61290367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Fenie Brossette,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,6155337.0,,-2.0,756514194.28,,176897395.75,False,V16,2026,6155337.0,2993621.235256875,9148958.235256875,Non-banques,52126746.45929065,0.0,61275704.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
AKDITAL,Santé,sante,sociaux,vérifié_par_impôt_du_pdf,haute,2025,5677576.0,370702249.0,365024673.0,,,,False,V16,2026,5677576.0,2993621.235256875,8671197.235256875,Non-banques,52126746.45929065,0.0,60797943.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Managem,Mines,mines,sociaux,vérifié_par_impôt_du_pdf,haute,2025,4321925.0,,,,,,False,V16,2026,4321925.0,2993621.235256875,7315546.235256875,Non-banques,52126746.45929065,0.0,59442292.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
DISTY RFA,"Matériels, logiciels et services informatiques",materiels logiciels et services informatiques,sociaux,vérifié_par_rcai_moins_resultat_net,haute,2025,3737785.0,29615892.91,25878107.91,,,,False,V16,2026,3737785.0,2993621.235256875,6731406.235256875,Non-banques,52126746.45929065,0.0,58858152.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
SRM,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,3666731.0,15732947.42,12066216.42,393652383.84,411765840.29,177784941.01,False,V16,2026,3666731.0,2993621.235256875,6660352.235256875,Non-banques,52126746.45929065,0.0,58787098.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Balima,Sociétés de placement immobilier,societes de placement immobilier,consolides,vérifié_par_impôt_du_pdf,haute,2025,4267813.0,15123586.6,10855773.6,50984600.14,,,False,V16,2026,4267813.0,1363692.6740938814,5631505.674093882,Non-banques,52126746.45929065,0.0,57758252.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
SNEP,Chimie,chimie,sociaux,vérifié_par_impôt_du_pdf,haute,2025,1890698.0,-188780000.0,-74627000.0,,,737217903.04,False,V16,2026,1890698.0,2993621.235256875,4884319.235256875,Non-banques,52126746.45929065,0.0,57011065.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Unimer,Agroalimentaire,agroalimentaire,sociaux,vérifié_par_impôt_du_pdf,haute,2025,1828143.0,,,60000000.0,,,False,V16,2026,1828143.0,2993621.235256875,4821764.235256875,Non-banques,52126746.45929065,0.0,56948510.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Maghreb Oxygène,Chimie,chimie,sociaux,vérifié_par_impôt_du_pdf,haute,2025,1418379.0,9911380.13,13776.0,,,261022100.75,False,V16,2026,1418379.0,2993621.235256875,4412000.235256875,Non-banques,52126746.45929065,0.0,56538746.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Addoha,Immobilier,immobilier,sociaux,vérifié_par_impôt_du_pdf,haute,2025,1165851.0,,-2.0,,,,False,V16,2026,1165851.0,2993621.235256875,4159472.235256875,Non-banques,52126746.45929065,0.0,56286218.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
M2M,"Matériels, logiciels et services informatiques",materiels logiciels et services informatiques,consolides,provisoire_un_seul_type_disponible,provisoire,2025,2407214.0,,6545127.0,43410959.0,,,False,V16,2026,2407214.0,1363692.6740938814,3770906.6740938816,Non-banques,52126746.45929065,0.0,55897653.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
Cartier Saada,Agroalimentaire,agroalimentaire,sociaux,vérifié_par_impôt_du_pdf,haute,2025,754620.0,6491136.56,5736516.56,296694031.26,,,False,V16,2026,754620.0,2993621.235256875,3748241.235256875,Non-banques,52126746.45929065,0.0,55874987.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
AFRIC INDUSTRIES SA,Industrie,industrie,sociaux,vérifié_par_impôt_du_pdf,haute,2025,2378000.0,9908000.0,7530000.0,43952000.0,,,False,V16,2026,2378000.0,1363692.6740938814,3741692.6740938816,Non-banques,52126746.45929065,0.0,55868439.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
Papelera de Tetuan,Divers,divers,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,276584.0,6920000.0,,110000000.0,,,False,V16,2026,276584.0,2993621.235256875,3270205.235256875,Non-banques,52126746.45929065,0.0,55396951.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Involys,Télécommunications et nouvelles technologies,telecommunications et nouvelles technologies,sociaux,vérifié_par_impôt_du_pdf,haute,2025,157108.0,273286.88,116178.88,37387849.45,119873844.98,90369128.48,False,V16,2026,157108.0,2993621.235256875,3150729.235256875,Non-banques,52126746.45929065,0.0,55277475.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
IMMORENTE INVEST,Sociétés de placement immobilier,societes de placement immobilier,sociaux,vérifié_par_impôt_du_pdf,haute,2025,125403.0,,-2400346.84,,,637527007.41,False,V16,2026,125403.0,2993621.235256875,3119024.235256875,Non-banques,52126746.45929065,0.0,55245770.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
STOKVIS,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,37321.0,,-2.0,,,67623151.9,False,V16,2026,37321.0,2993621.235256875,3030942.235256875,Non-banques,52126746.45929065,0.0,55157688.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
CMGP GROUP,Industrie,industrie,sociaux,vérifié_par_impôt_du_pdf,haute,2025,373469.0,124211405.73,123837936.73,26787027.66,,,False,V16,2026,373469.0,1363692.6740938814,1737161.6740938814,Non-banques,52126746.45929065,0.0,53863908.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
Vicenne,Santé,sante,sociaux,vérifié_par_impôt_du_pdf,haute,2025,365832.0,98385952.95,98020120.95,33328615.7,,,False,V16,2026,365832.0,1363692.6740938814,1729524.6740938814,Non-banques,52126746.45929065,0.0,53856271.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
RES DAR SAADA,Immobilier,immobilier,consolides,vérifié_par_impôt_du_pdf,haute,2025,353000.0,18530.0,,,,,False,V16,2026,353000.0,1292668.2170100107,1645668.2170100107,Non-banques,52126746.45929065,0.0,53772414.67630067,Prévision exploratoire; à actualiser avec les comptes 2026
