societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad
Rebab Company,Mines,2019,sociaux,33189601.5,34600000.0,,-268178.97,-287897.8,,,3066285.33,,2195245.33,54972000.0,,,5,Rebab,1.0,alias vérifié,871040.0,vérifié_par_rcai_moins_resultat_net,0.0,871040.0
Rebab Company,Mines,2020,consolides,,9600000.0,,,-2900000.0,,,-232000.0,,-4845.0,11256000.0,,138240000000.0,6,Rebab,1.0,alias vérifié,3000.0,provisoire_un_seul_type_disponible,,
Rebab Company,Mines,2022,sociaux,24000192.62,,,-161000000.0,-1300000.0,,,-219000.0,-58000000.0,-3600000.0,39802000000.0,,69000000.0,8,Rebab,1.0,alias vérifié,3000.0,provisoire_un_seul_type_disponible,,
Rebab Company,Mines,2023,sociaux,24217926.66,,,,-1300000.0,,,221000.0,,-5000000.0,39766000.0,,,4,Rebab,1.0,alias vérifié,3000.0,provisoire_un_seul_type_disponible,,
Rebab Company,Mines,2024,sociaux,24809899.31,,,325000.0,-1500000.0,17056656.89,,,-32000.0,-3000000.0,,,86000000.0,7,Rebab,1.0,alias vérifié,3000.0,provisoire_un_seul_type_disponible,,
Rebab Company,Mines,2025,sociaux,25864154.36,,,,-1200000.0,17056656.89,,1031000.0,-9000.0,-2600000.0,40330000000.0,,342000000.0,8,Rebab,1.0,alias vérifié,3000.0,provisoire_un_seul_type_disponible,,
Risma,Divers,2007,consolides,100490000.0,1114504000.0,246591000.0,-39819000.0,-88269000.0,2205638000.0,,76739000.0,-67137000.0,28825000.0,2677910000.0,,,10,Risma,1.0,nom normalisé,608000.0,provisoire_un_seul_type_disponible,,
Risma,Divers,2008,consolides,1030155000.0,937721000.0,1573768000.0,,,2076172000.0,,81455000.0,-39819000.0,48155000.0,2535801000.0,,,7,Risma,1.0,nom normalisé,1849000.0,provisoire_un_seul_type_disponible,,
Risma,Divers,2009,consolides,,,,,,3930356000.0,,,,,,,,1,Risma,1.0,nom normalisé,1732320.0,provisoire_un_seul_type_disponible,,
Risma,Divers,2010,consolides,,,,,,3434179000.0,,,,,,,,1,Risma,1.0,nom normalisé,2048500.0,provisoire_un_seul_type_disponible,,
Risma,Divers,2018,consolides,,,,,,3015106000.0,,,,,3435444000.0,,,2,Risma,1.0,nom normalisé,6416340.59,provisoire_un_seul_type_disponible,,
Risma,Divers,2019,sociaux,2087476508.64,,,-146000000.0,,,,-183000000.0,,-302932000.0,,,,4,Risma,1.0,nom normalisé,5967203.71,vérifié_par_impôt_du_pdf,,
