societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad,version_source,secteur_normalise,est_banque,qualite_perimetre,taille_log_actif,rentabilite_actif,ratio_capitaux_propres,ratio_dettes_financieres,marge_ebit,marge_nette,taux_effectif_observe,is_mad_retard_1,chiffre_affaires_retard_1,resultat_avant_impot_retard_1,resultat_net_retard_1,total_actif_retard_1,capitaux_propres_retard_1,croissance_chiffre_affaires,croissance_resultat_avant_impot,croissance_resultat_net,croissance_total_actif,croissance_capitaux_propres,chiffre_affaires_manquant,ebit_manquant,resultat_financier_manquant,resultat_avant_impot_manquant,resultat_net_manquant,total_actif_manquant,capitaux_propres_manquant,total_dettes_manquant,dettes_financieres_manquant,tresorerie_equivalents_manquant,ebitda_manquant,immobilisations_corporelles_manquant,impot_differe_manquant,split_temporel_t,is_cible_t_plus_1,qualite_cible_t_plus_1,annee_cible,split_temporel_cible,cible_disponible
Afriquia Gaz,Pétrole et Gaz,2016,consolides,2234643000.0,,81567000.0,,,2933582000.0,32079000.0,,,478702420617.0,4037359000.0,,,6,AfriquiaGaz,1.0,alias vérifié,192889583.0,provisoire_un_seul_type_disponible,,,V26,petrole et gaz,False,provisoire,22.118856602532446,118.56820773604726,0.5534912798193076,0.020203058484519212,,,,159020793.0,,,420617404771.0,3695298000.0,2116880000.0,,,0.1380946560630882,0.09256655349582091,0.05563045614300291,1,1,1,1,0,0,0,1,0,1,1,0,0,apprentissage,243299842.0,provisoire,2017,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2010,sociaux,,,,,,,,,,329345406.55,,,,1,AfriquiaGaz,1.0,alias vérifié,133259096.0,vérifié_par_impôt_du_pdf,,,V26,petrole et gaz,False,haute,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,apprentissage,144553830.0,haute,2011,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2011,sociaux,,,,,,,,494894393.41,,350057497.26,,,,2,AfriquiaGaz,1.0,alias vérifié,144553830.0,vérifié_par_rcai_moins_resultat_net,0.001958205811634571,144836896.15,V26,petrole et gaz,False,haute,,,,,,,0.29209025587049436,133259096.0,,,329345406.55,,,,,0.06288865822349202,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage,162690298.0,haute,2012,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2012,sociaux,,,,,,,,547846056.26,,385155758.26,,,,2,AfriquiaGaz,1.0,alias vérifié,162690298.0,vérifié_par_rcai_moins_resultat_net,0.0,162690298.0,V26,petrole et gaz,False,haute,,,,,,,0.29696352860627234,144553830.0,,494894393.41,350057497.26,,,,0.10699588347555121,0.10026427451125633,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage,151764148.0,haute,2013,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2013,sociaux,,,,,,,,535159586.01,,383395438.01,,,,2,AfriquiaGaz,1.0,alias vérifié,151764148.0,vérifié_par_rcai_moins_resultat_net,0.0,151764148.0,V26,petrole et gaz,False,haute,,,,,,,0.28358671313637673,162690298.0,,547846056.26,385155758.26,,,,-0.023156998403177663,-0.004570411352416269,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage,154459416.0,haute,2014,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2018,sociaux,,,,,,,,867573867.95,,619008571.95,,,,2,AfriquiaGaz,1.0,alias vérifié,248565296.0,vérifié_par_rcai_moins_resultat_net,0.0,248565296.0,V26,petrole et gaz,False,haute,,,,,,,0.286506204465722,,,,,,,,,,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage,271711766.0,haute,2019,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2019,sociaux,,,,,,,,,,11993000.0,,,,1,AfriquiaGaz,1.0,alias vérifié,271711766.0,vérifié_par_impôt_du_pdf,,,V26,petrole et gaz,False,haute,,,,,,,,248565296.0,,867573867.95,619008571.95,,,,,-0.9806254702382882,,,1,1,1,1,0,1,1,1,1,1,1,1,1,apprentissage,241424351.0,haute,2020,validation,True
Afriquia Gaz,Pétrole et Gaz,2020,sociaux,,33703000.0,,,,,,,,,,,,1,AfriquiaGaz,1.0,alias vérifié,241424351.0,vérifié_par_impôt_du_pdf,,,V26,petrole et gaz,False,haute,,,,,,,,271711766.0,,,11993000.0,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,validation,262963957.0,haute,2021,validation,True
Afriquia Gaz,Pétrole et Gaz,2021,sociaux,,26592000.0,95160000.0,,,,,,,11993000.0,,,,3,AfriquiaGaz,1.0,alias vérifié,262963957.0,vérifié_par_impôt_du_pdf,,,V26,petrole et gaz,False,haute,,,,,,0.4510003008423586,,241424351.0,33703000.0,,,,,-0.21099011957392516,,,,,0,1,1,1,0,1,1,1,0,1,1,1,1,validation,255317352.0,haute,2022,validation,True
Afriquia Gaz,Pétrole et Gaz,2022,sociaux,,33166000.0,,,,,,,,1881000.0,,,,2,AfriquiaGaz,1.0,alias vérifié,255317352.0,vérifié_par_impôt_du_pdf,,,V26,petrole et gaz,False,haute,,,,,,0.05671470783332328,,262963957.0,26592000.0,,11993000.0,,,0.24721720818291215,,-0.843158509130326,,,0,1,1,1,0,1,1,1,1,1,1,1,1,validation,240514004.0,haute,2023,test_final,True
Aluminium du Maroc,Bâtiment et matériaux de construction,2020,sociaux,404327023.65,908700000.0,,77500000.0,,,,,,,,,,3,Alimunum du Maroc,1.0,alias vérifié,10621905.0,vérifié_par_impôt_du_pdf,,,V26,batiment et materiaux de construction,False,haute,,,,,0.08528667326950588,,,,,,,,,,,,,,0,0,1,1,1,1,0,1,1,1,1,1,1,validation,24615102.0,haute,2021,validation,True
Aluminium du Maroc,Bâtiment et matériaux de construction,2021,sociaux,406573328.92,848900000.0,,73200000.0,,,,,,58400000.0,,,,4,Alimunum du Maroc,1.0,alias vérifié,24615102.0,vérifié_par_impôt_du_pdf,,,V26,batiment et materiaux de construction,False,haute,,,,,0.08622923783720109,0.06879491106137355,,10621905.0,908700000.0,,,,404327023.65,-0.06580829756795423,,,,0.005555664446372803,0,0,1,1,0,1,0,1,1,1,1,1,1,validation,10564120.0,haute,2022,validation,True
